Ascend_angle,Descend_angle_1,Descend_angle_2,Cruise_speed_m_per_s,Trip_distance_m,Cruise_altitude_m,Payload,Wind,Direction,T-,?Long_accel-,?Lat_accel-,?Jerk-
11,21,18,79,28648,795,872,0,30,0,2,2,0
17,27,24,33,18646,320,270,21,141,1,0,0,0
12,7,4,61,18684,513,1758,23,139,0,0,0,0
7,6,3,28,22523,553,80,1,70,0,0,0,0
27,22,19,56,23671,327,246,10,20,0,3,3,1
12,13,10,63,6934,666,18,14,30,0,1,1,1
9,18,15,94,17262,971,1959,2,45,0,1,2,0
3,9,6,38,16882,846,1188,27,118,1,0,0,0
11,12,9,42,19496,798,1593,15,48,0,0,0,0
8,30,27,44,6041,649,506,11,1,0,2,1,0
27,25,22,102,28727,324,1847,2,125,0,3,3,3
18,25,22,73,7960,916,563,28,56,0,2,3,1
25,12,9,92,10449,312,25,20,69,0,3,3,1
14,6,3,62,22252,782,1593,12,70,0,0,0,0
25,14,11,22,20736,688,849,2,1,0,0,0,0
8,15,12,102,24142,798,1678,25,41,0,2,3,1
5,13,10,54,8923,643,561,26,123,1,0,0,0
23,6,3,93,14358,367,449,29,119,0,1,1,0
20,7,4,82,11623,609,147,26,78,0,1,1,0
14,21,18,99,11876,814,1387,0,132,0,2,3,0
5,23,20,70,18671,248,468,30,4,0,2,3,2
29,16,13,28,6096,433,652,4,157,0,0,0,0
11,10,7,65,29126,399,479,1,43,0,0,1,0
17,13,10,70,18492,686,328,17,49,0,1,2,0
5,24,21,23,9012,478,810,19,8,0,2,1,0
9,21,18,47,16886,956,109,14,50,0,1,1,0
14,9,6,34,16474,523,426,25,60,0,0,0,0
13,21,18,53,26023,559,201,0,12,0,0,0,0
26,24,21,79,12558,315,1402,3,146,0,3,3,2
16,29,26,69,17395,493,307,23,55,0,2,3,2
27,9,6,101,29811,422,1375,4,14,0,1,3,1
27,18,15,44,22465,707,461,27,118,0,0,0,0
18,21,18,42,12340,371,842,22,62,0,2,3,0
4,9,6,48,12468,464,1895,25,166,1,0,0,0
17,14,11,49,12830,450,441,4,61,0,0,0,0
16,6,3,73,16999,330,1948,23,42,0,1,2,0
11,29,26,30,7231,402,1201,26,117,1,0,0,0
19,12,9,96,21797,786,1093,24,36,0,2,2,0
23,9,6,96,13934,404,481,2,35,0,1,3,0
24,22,19,26,16235,670,1222,29,118,1,0,0,0
27,11,8,86,25889,982,805,25,36,0,2,2,0
11,14,11,34,28953,439,135,28,15,0,1,1,0
29,24,21,44,26887,567,466,11,49,0,3,2,0
25,15,12,81,7185,666,235,29,97,0,1,1,0
12,10,7,80,15128,280,1628,20,6,0,3,3,0
30,25,22,33,28504,655,117,28,83,0,0,0,0
16,29,26,97,9456,488,1204,22,26,0,3,3,2
10,26,23,67,15445,879,1287,24,56,0,2,2,1
4,15,12,51,10379,288,884,2,77,0,0,1,0
20,12,9,71,15285,859,951,18,81,0,0,1,0
9,22,19,22,25159,248,1942,8,104,0,0,0,0
7,12,9,78,18345,521,1574,0,178,0,0,0,0
7,28,25,44,18700,687,441,1,115,0,1,0,0
13,8,5,60,10316,457,1986,20,74,0,0,1,0
27,6,3,101,21333,697,1662,16,1,0,1,2,0
25,16,13,65,16433,540,470,10,154,0,0,1,0
10,8,5,23,17225,996,1884,0,154,0,0,0,0
22,26,23,31,19918,569,938,6,105,0,0,0,0
24,30,27,83,18319,867,154,23,10,0,3,3,2
7,10,7,78,29219,565,1904,9,167,0,0,0,0
22,20,17,68,10766,562,1316,21,81,0,2,3,0
22,27,24,35,11310,699,544,26,94,0,0,0,0
27,24,21,94,28783,340,1798,25,76,0,3,3,3
17,17,14,46,14048,716,1764,12,72,0,0,0,0
20,20,17,45,14690,947,791,24,154,1,0,0,0
15,13,10,60,17711,802,653,11,164,0,0,0,0
12,8,5,24,20864,703,612,9,44,0,0,0,0
3,24,21,99,16443,351,972,19,166,0,1,1,2
21,14,11,56,8216,598,1145,15,9,0,2,2,0
21,17,14,59,7804,436,348,27,155,1,0,0,0
3,23,20,67,11544,917,609,7,8,1,2,1,0
22,21,18,38,6598,841,164,16,152,1,0,0,0
7,13,10,105,20121,700,1285,0,40,0,1,2,0
8,27,24,29,22586,340,581,28,127,1,0,0,0
19,16,13,53,18645,696,1767,20,165,1,0,0,0
14,7,4,34,19407,661,1135,23,43,0,0,0,0
9,22,19,36,28663,789,1055,24,153,1,0,0,0
23,8,5,35,16880,433,1402,26,44,0,1,1,0
30,20,17,56,29227,964,888,24,113,0,0,0,0
25,9,6,34,21550,735,805,0,93,0,0,0,0
28,7,4,49,6109,710,192,0,166,1,0,0,0
20,20,17,27,21651,908,1677,0,12,0,0,0,0
11,16,13,65,26730,949,1012,13,14,0,1,1,0
17,13,10,67,28598,239,682,2,88,0,2,2,1
24,17,14,84,21880,838,1358,16,57,0,3,3,0
11,23,20,48,19247,554,1426,15,42,0,2,1,0
24,14,11,75,6426,368,1210,3,155,0,1,2,0
12,18,15,40,24153,792,97,15,154,1,0,0,0
28,9,6,104,14742,586,1262,5,44,0,1,2,0
6,21,18,69,15755,941,984,13,176,0,0,0,0
28,18,15,39,7771,552,1803,29,60,0,2,2,0
20,14,11,40,21152,426,1277,28,70,0,0,0,0
6,19,16,43,13965,503,1737,8,18,0,1,0,0
28,11,8,75,17015,598,1956,19,4,0,2,2,0
21,20,17,98,8930,333,236,26,78,0,3,3,2
6,19,16,24,8036,884,1760,21,139,1,0,0,0
17,21,18,30,24300,805,294,28,20,0,2,1,1
15,29,26,78,17215,397,1155,13,85,0,2,3,2
10,30,27,54,16611,624,1730,29,41,0,2,2,2
21,27,24,77,23387,453,614,6,58,0,3,3,1
24,12,9,61,22211,722,738,6,59,0,0,1,0
16,30,27,42,9459,682,1426,2,95,0,1,0,0
17,28,25,78,7514,513,1999,27,102,0,2,3,0
15,12,9,37,28063,984,107,27,47,0,0,1,0
17,27,24,73,21354,363,644,4,56,0,2,3,2
9,12,9,23,22430,358,1351,18,118,1,0,0,0
5,29,26,62,12933,888,1801,7,7,0,2,2,1
16,29,26,64,17885,742,1672,5,13,0,2,2,0
12,14,11,24,20216,911,268,29,38,0,1,1,0
29,7,4,58,25232,835,655,0,70,0,0,1,0
28,16,13,52,18761,472,931,27,8,0,3,2,0
24,14,11,37,18064,976,1710,8,89,0,0,0,0
24,14,11,93,17150,811,1250,5,136,0,1,2,0
28,27,24,41,21728,272,291,11,132,0,1,2,0
4,16,13,91,15609,695,890,2,159,0,1,2,0
12,19,16,100,7469,815,284,9,162,0,2,3,0
24,15,12,59,14552,539,180,24,20,0,3,2,0
6,20,17,70,8930,771,453,27,53,1,2,1,1
19,16,13,77,27102,824,271,14,95,0,0,2,0
30,14,11,109,17487,976,433,15,163,0,1,1,0
8,19,16,24,25312,291,849,25,63,0,1,0,0
15,13,10,109,25630,398,527,22,17,0,3,3,1
30,11,8,23,18469,242,416,25,161,1,0,0,0
13,9,6,80,15989,881,673,2,34,0,0,0,0
18,18,15,71,22509,416,306,17,180,0,0,2,0
13,26,23,39,21870,923,1811,8,155,0,0,0,0
29,14,11,91,17563,785,65,20,122,0,1,1,0
5,25,22,40,6733,823,1618,23,25,1,2,1,1
26,20,17,92,15338,620,1615,10,129,0,3,3,0
6,24,21,64,14135,572,1753,18,59,0,2,2,0
25,7,4,27,15601,264,1662,1,166,0,0,0,0
26,29,26,71,27082,340,1992,19,10,0,3,3,3
27,9,6,29,17913,941,1456,8,119,0,0,0,0
10,13,10,92,28715,555,432,9,0,0,1,3,0
8,24,21,100,23846,583,333,23,72,0,2,3,1
4,12,9,34,7739,531,846,8,86,1,0,0,0
7,18,15,105,29702,234,1348,28,41,0,2,3,2
19,25,22,94,19826,986,1951,11,130,0,2,3,0
12,10,7,77,12078,876,1439,20,81,0,0,0,0
21,18,15,88,9618,925,1259,25,134,0,0,1,0
16,24,21,70,21331,551,1802,5,114,0,2,3,0
21,17,14,74,23392,353,1042,20,124,0,1,2,0
5,7,4,57,8044,898,1334,10,142,1,0,0,0
24,30,27,29,19363,480,1048,20,19,0,3,1,1
3,16,13,27,12270,819,1060,30,130,1,0,0,0
23,25,22,44,18983,387,1014,17,137,0,0,0,0
24,6,3,104,26737,634,1829,24,110,0,1,1,0
12,8,5,35,19808,226,756,21,132,1,0,0,0
3,23,20,87,22999,554,1288,28,97,0,2,2,0
25,22,19,51,19709,424,1308,30,179,1,0,0,0
4,28,25,83,21278,823,369,1,41,0,2,2,0
20,22,19,44,26267,756,303,10,114,0,0,0,0
8,8,5,62,27329,386,1334,27,113,0,0,0,0
19,6,3,107,22515,206,439,11,89,0,1,2,2
9,21,18,107,8034,637,1052,26,112,0,2,3,0
13,6,3,58,27522,330,1237,5,75,0,0,1,0
25,9,6,31,26718,236,1423,4,126,0,0,0,0
19,11,8,36,18037,591,1916,4,34,0,0,0,0
25,22,19,83,23898,614,1083,24,162,0,0,2,0
13,16,13,96,29899,399,1124,6,88,0,2,3,0
25,30,27,48,16964,923,358,24,152,1,0,0,0
15,15,12,75,13116,942,1832,2,129,0,0,0,0
11,24,21,54,7868,348,1803,2,69,0,2,1,0
3,26,23,27,7797,868,532,19,15,1,1,1,0
4,20,17,40,16769,522,1497,1,178,0,0,0,0
4,20,17,97,9325,575,1148,14,136,1,2,2,0
24,21,18,26,19498,733,1092,9,139,0,0,0,0
13,22,19,100,6694,730,972,12,180,0,2,3,0
6,16,13,85,6444,487,1271,0,63,1,2,2,1
3,25,22,25,25904,624,1671,20,37,0,2,1,0
22,28,25,110,9391,760,529,30,94,0,3,3,1
12,19,16,44,11797,770,81,6,178,0,0,0,0
15,30,27,101,19148,876,83,7,169,0,2,3,0
27,17,14,66,13221,854,422,30,146,1,0,0,0
17,23,20,106,21438,917,194,5,57,0,2,3,1
16,13,10,35,19657,215,1867,29,23,0,3,2,1
4,19,16,98,11280,278,1181,27,53,0,2,3,2
22,6,3,33,6357,690,1162,19,130,1,0,0,0
16,27,24,92,18257,912,1712,5,53,0,2,3,0
16,28,25,57,12244,944,823,25,14,0,2,1,1
27,16,13,93,15911,804,126,18,94,0,2,3,0
25,6,3,40,12172,626,757,2,151,0,0,0,0
8,24,21,27,12651,556,1920,0,70,0,0,0,0
7,15,12,85,25054,561,393,4,3,0,2,2,0
20,24,21,24,15092,596,1617,7,36,0,0,0,0
7,16,13,78,26661,416,563,15,32,0,2,3,0
25,28,25,30,16694,676,550,20,175,1,0,0,0
14,16,13,22,15582,593,1744,3,158,0,0,0,0
4,23,20,37,29588,412,318,7,70,0,0,0,0
26,11,8,74,16530,981,750,3,100,0,0,1,0
8,11,8,49,28506,934,1938,13,131,0,0,0,0
19,12,9,102,10530,879,1675,21,87,0,1,2,0
30,8,5,77,23303,563,1526,20,87,0,1,1,0
24,17,14,67,29604,683,676,8,170,0,0,1,0
7,28,25,76,14638,250,956,26,93,0,2,3,2
21,15,12,101,17987,289,5,10,80,0,3,3,3
28,26,23,35,14268,569,1622,18,73,0,1,0,0
17,30,27,80,6638,343,1112,23,148,0,1,2,1
19,12,9,101,23323,507,385,3,18,0,2,3,0
15,30,27,31,28719,723,282,19,149,1,0,0,0
10,10,7,91,20629,256,1405,9,90,0,1,2,0
20,13,10,52,23578,471,143,29,6,0,3,2,0
19,19,16,38,28181,705,1932,29,36,0,2,1,1
4,22,19,51,25469,583,1352,1,10,0,0,0,0
24,13,10,65,6894,528,236,6,168,0,0,1,0
14,23,20,52,25341,633,1794,13,153,0,0,0,0
28,19,16,97,10314,592,1256,30,143,0,0,2,0
29,19,16,91,15531,354,1894,2,156,0,3,3,2
23,25,22,52,11418,214,722,7,138,0,2,2,2
13,21,18,75,10517,586,1451,15,17,0,2,3,1
9,14,11,54,8874,852,1822,11,15,1,0,1,0
24,25,22,54,15470,678,1957,28,130,0,0,0,0
15,7,4,66,11797,453,24,1,94,0,0,1,0
20,6,3,56,22569,201,1249,27,20,0,1,3,1
3,27,24,34,12822,803,1212,7,9,1,1,0,0
22,15,12,67,19935,568,534,8,29,0,2,2,0
13,6,3,104,22710,355,755,24,137,0,0,1,0
29,25,22,86,6006,265,196,16,85,0,3,3,3
17,14,11,51,16757,771,1226,19,62,0,0,0,0
22,28,25,53,29241,275,832,13,51,0,3,3,2
16,18,15,92,10047,844,22,22,8,0,2,3,1
16,21,18,69,27977,717,1825,6,132,0,0,0,0
13,10,7,76,10841,430,9,19,4,0,1,3,0
15,10,7,60,17477,773,1553,13,24,0,0,1,0
6,13,10,66,9288,985,1741,18,19,1,1,1,0
17,12,9,38,13857,551,1983,18,63,0,0,0,0
12,12,9,61,23296,706,1797,25,23,0,1,1,0
26,16,13,35,16556,635,1029,5,97,0,0,0,0
18,13,10,102,26073,438,1995,24,76,0,3,3,0
24,17,14,100,11727,430,85,2,6,0,3,3,1
8,18,15,79,16578,589,919,3,57,0,2,2,0
20,19,16,97,10686,941,1901,6,166,0,1,3,0
10,12,9,43,25850,761,532,16,160,1,0,0,0
6,27,24,67,12382,533,1873,24,52,0,2,2,2
16,16,13,52,21373,250,1366,27,180,1,0,0,0
5,23,20,51,20791,620,1264,18,52,0,2,1,0
9,26,23,58,12158,602,310,22,75,0,2,2,0
29,13,10,78,17883,827,67,2,159,0,1,1,0
21,25,22,68,18788,443,1047,5,23,0,3,3,1
21,21,18,74,24369,762,451,16,146,0,0,0,0
9,13,10,89,12593,955,873,26,26,0,1,1,1
27,8,5,51,26955,267,1958,6,83,0,1,1,0
18,21,18,34,27810,877,520,12,164,1,0,0,0
3,9,6,100,21365,384,1814,0,60,0,0,2,0
3,28,25,31,13261,829,1925,5,166,1,0,0,0
5,11,8,48,23667,876,853,19,96,0,0,0,0
3,17,14,104,9645,752,1865,18,87,1,2,2,0
18,9,6,90,22996,650,866,25,117,0,0,1,0
21,20,17,61,20337,678,169,16,52,0,2,2,0
10,7,4,101,9144,567,289,12,8,1,0,2,0
8,23,20,48,15960,661,1262,17,135,0,0,0,0
4,6,3,29,17071,388,897,13,36,0,0,0,0
9,23,20,73,25899,671,1827,6,80,0,2,2,0
11,29,26,41,27457,672,1373,3,106,0,0,0,0
25,26,23,101,6306,628,1944,7,34,0,3,3,1
11,20,17,104,23411,726,559,10,65,0,2,3,0
23,19,16,31,9866,596,3,6,13,0,0,0,0
16,19,16,60,24355,903,1610,12,86,0,0,0,0
19,8,5,45,21364,459,901,10,25,0,0,1,0
23,12,9,101,29902,862,892,29,176,0,0,1,0
5,19,16,82,17867,730,400,8,179,0,0,1,0
22,7,4,32,15695,258,664,16,80,0,0,0,0
18,29,26,99,19888,451,1543,16,38,0,3,3,1
19,12,9,93,9196,872,1929,25,157,0,0,0,0
18,29,26,110,11959,279,1538,17,86,0,3,3,3
13,28,25,107,11285,336,1964,29,139,0,2,2,2
24,26,23,48,16366,958,450,3,44,0,1,0,0
13,15,12,71,15735,358,554,20,45,0,2,3,0
30,13,10,66,7029,291,1026,1,116,0,2,2,0
25,14,11,26,20172,829,982,22,40,0,0,0,0
10,12,9,65,11976,543,230,11,99,0,0,0,0
25,16,13,65,12770,946,1895,21,97,0,0,0,0
8,28,25,53,14482,681,1481,15,69,0,2,1,0
10,23,20,38,28762,797,1872,14,15,0,1,1,0
18,18,15,85,9653,783,1506,2,152,0,1,3,0
21,8,5,71,29485,826,931,30,84,0,0,1,0
27,29,26,53,10291,339,896,0,149,0,3,3,1
17,30,27,87,25093,735,769,23,126,0,2,2,0
19,22,19,93,28571,938,1610,3,172,0,2,3,0
18,30,27,84,17943,311,401,0,30,0,3,3,2
10,24,21,61,14944,387,1079,19,65,0,2,3,1
6,8,5,110,15351,308,1945,5,80,0,0,3,0
3,6,3,37,14383,261,99,26,80,0,0,0,0
26,29,26,49,13123,977,1335,11,83,0,1,0,0
29,23,20,75,6349,337,1697,9,71,0,3,3,1
11,9,6,104,20820,582,208,5,29,0,0,3,0
12,13,10,24,28918,390,420,22,51,0,0,0,0
29,12,9,92,18897,412,1376,16,159,0,1,2,0
8,16,13,75,18161,299,1065,4,105,0,1,2,1
13,20,17,106,20206,652,1057,25,43,0,2,3,1
30,10,7,95,28481,974,1255,8,145,0,1,1,0
15,18,15,77,7704,718,1292,21,177,0,0,0,0
3,20,17,77,16769,869,895,0,56,1,1,1,0
15,14,11,90,26628,242,1623,20,128,0,1,2,1
21,16,13,35,20552,853,672,19,128,0,0,0,0
4,27,24,107,11341,374,1669,10,9,0,2,3,2
16,15,12,96,26026,739,826,18,158,0,0,2,0
13,20,17,54,27702,698,1864,10,159,0,0,0,0
12,17,14,29,17577,714,737,23,115,0,0,0,0
6,16,13,33,23787,765,835,8,23,0,0,0,0
27,18,15,92,7493,283,1491,26,28,0,3,3,3
14,8,5,34,13184,533,1678,27,58,0,0,0,0
4,16,13,56,26546,701,1527,7,166,0,0,0,0
8,24,21,31,26522,469,152,6,6,0,0,0,0
30,15,12,100,9248,663,1509,16,114,0,1,3,0
26,23,20,95,17879,831,248,7,2,0,3,3,1
11,19,16,33,25501,678,121,3,105,0,0,0,0
18,22,19,64,14279,241,388,12,19,0,3,3,2
6,10,7,110,15135,486,791,27,0,0,2,3,0
3,11,8,55,26657,566,190,25,19,0,1,1,0
16,28,25,22,8883,900,1675,5,98,0,0,0,0
19,25,22,52,14396,543,357,17,178,0,0,0,0
26,18,15,107,27373,273,856,9,147,0,3,3,3
5,27,24,23,26612,493,44,5,172,0,0,0,0
27,24,21,69,25467,917,936,0,91,0,2,2,0
19,21,18,30,17574,414,1745,0,175,0,0,0,0
12,17,14,106,18983,497,1029,27,23,0,3,3,2
21,20,17,35,11030,743,1771,4,110,0,0,0,0
18,8,5,43,10866,985,1727,28,71,1,0,0,0
7,30,27,100,23716,773,1731,22,165,0,1,1,0
26,19,16,107,19518,673,155,30,85,0,3,3,0
21,21,18,75,10600,712,274,7,43,0,2,3,0
11,28,25,36,12346,466,452,3,141,0,0,0,0
17,14,11,23,17794,556,1556,18,16,0,0,0,0
12,21,18,84,21847,926,1687,14,154,0,0,0,0
14,13,10,64,9226,669,917,24,75,0,0,1,0
27,23,20,28,14875,452,1562,26,79,0,0,0,0
13,18,15,61,14182,860,851,26,126,0,0,0,0
5,29,26,80,10678,576,1239,8,26,0,2,2,1
16,24,21,38,22636,879,1527,4,133,0,0,0,0
11,11,8,55,29976,388,560,12,14,0,0,2,0
16,21,18,28,18370,823,1605,15,13,0,1,1,0
21,22,19,67,27662,910,296,23,87,0,1,1,0
28,28,25,74,19228,603,798,9,34,0,3,3,2
6,22,19,96,8740,432,510,24,108,0,2,2,1
6,19,16,42,17520,739,1556,16,31,0,1,1,0
25,27,24,81,18929,972,135,22,178,0,0,0,0
5,28,25,45,11169,455,176,15,67,0,2,2,0
26,11,8,78,22260,641,858,5,53,0,1,1,0
16,6,3,37,26975,315,1868,10,34,0,0,0,0
11,10,7,64,20008,237,1239,10,139,0,0,2,0
10,30,27,45,27444,685,1472,19,137,0,0,0,0
11,11,8,74,24854,864,1699,4,4,0,0,0,0
26,28,25,107,25004,865,1867,28,58,0,3,3,2
22,8,5,61,13669,762,67,28,17,0,1,2,0
27,6,3,103,18619,589,921,10,112,0,1,1,0
23,25,22,57,23661,842,19,18,120,0,0,0,0
18,11,8,87,21248,991,490,2,72,0,0,2,0
26,11,8,100,26680,387,41,5,98,0,1,3,1
8,20,17,76,6170,738,1813,22,76,1,2,2,0
17,25,22,73,12379,774,693,20,158,0,0,0,0
5,21,18,27,21531,737,682,0,19,0,0,0,0
18,22,19,49,18136,548,390,25,78,0,2,1,0
22,24,21,41,13343,691,765,22,97,0,0,0,0
30,25,22,100,8906,405,656,26,133,0,2,2,1
3,14,11,64,21995,624,1076,20,120,0,0,0,0
3,23,20,110,24675,202,689,25,103,0,2,3,2
15,11,8,110,6919,698,90,24,177,1,0,1,1
27,20,17,83,28994,885,57,26,162,0,0,0,0
26,9,6,53,23809,222,1627,10,52,0,1,2,0
25,23,20,108,28588,328,1204,27,85,0,3,3,3
24,8,5,102,9956,526,1031,1,164,0,1,1,0
29,24,21,76,15289,668,509,4,38,0,3,3,0
23,28,25,55,10468,915,15,16,154,0,0,0,0
20,12,9,43,20242,520,307,1,48,0,0,0,0
11,20,17,77,17967,548,1407,29,172,1,0,0,0
27,20,17,86,26807,808,1207,7,145,0,2,3,0
22,25,22,87,12888,629,664,18,86,0,3,3,0
28,18,15,65,7098,317,1984,14,42,0,3,3,2
3,13,10,50,23671,319,274,6,63,0,0,1,0
12,28,25,22,29837,665,1160,1,148,0,0,0,0
26,15,12,66,29240,901,1525,0,160,0,0,1,0
26,28,25,65,15989,439,1785,17,70,0,3,3,1
13,8,5,98,19364,396,1334,30,36,0,2,3,0
14,30,27,80,26655,404,1626,9,35,0,2,3,2
30,28,25,81,23730,469,322,3,151,0,3,3,1
16,12,9,101,12804,562,1351,11,58,0,2,3,0
25,8,5,109,29671,212,1458,14,169,0,2,2,2
25,17,14,84,9444,435,1269,9,15,0,3,3,0
5,11,8,56,24621,299,476,7,51,0,0,1,0
6,8,5,72,8338,507,1293,9,38,1,0,0,0
17,16,13,49,15864,868,119,15,13,0,1,1,0
16,8,5,79,8829,703,951,19,25,1,0,2,0
8,10,7,32,27719,396,1736,14,22,0,0,0,0
27,14,11,76,12937,329,1568,0,51,0,2,2,0
20,27,24,38,18435,976,934,14,166,1,0,0,0
19,7,4,91,7153,886,1178,30,21,1,1,2,0
13,16,13,79,12112,778,903,2,147,0,0,1,0
18,20,17,82,7551,541,711,5,128,0,2,3,0
28,15,12,96,8120,989,904,1,86,0,2,2,0
22,25,22,88,10161,568,680,21,178,0,1,2,0
14,14,11,50,13635,950,1323,1,1,0,0,0,0
9,17,14,49,23720,804,1634,2,152,0,0,0,0
13,30,27,62,20141,634,1487,27,26,0,2,3,2
25,29,26,45,24269,658,1687,1,41,0,2,0,0
27,16,13,52,17536,540,1554,6,157,0,0,1,0
